vylovit+4	вытащить+из-под+l
vyvést+4	вывести+из+g
pouštět+k+3	подпускать+к+d
otrávit+4	отравить+a
vykreslit+3	нарисовать+d
mlátit+4	лупить+a
uhádnout+4	угадать+a
vyplňovat+4	заполнять+a
dávat+na+4	давать+на+a
přislíbit+4	обещать+a
nakreslit+4	нарисовать+a
doprovázet+4	сопровождать+n
usmrcovat+4	умерщвлять+g
přezkoumat+4	пересмотреть+g
natáhnout+k+3	протянуть+к+d
vypínat+4	выключать+a
tahat+7	тянуть+в+a
zapálit+4	зажечь+a
odesílat+4	посылать+в+a
vytahovat+na+4	извлекать+из+g
namířit+4	направить+на+a
spočítat+4	пересчитать+a
cítit+4	чувствовать+g
dávat+4	давать+a
podstrčit+3	подсунуть+d
narazit+7	наткнуться+на+a
udělat+7	сделать+с+i
zůstat+z+2	остаться+от+l
předkládat+4	предъявлять+d
prodat+3	продать+d
sedět+nad+7	сидеть+над+i
vyzkoušet+na+6	проверить+на+a
vytlačovat+4	оттеснять+n
varovat+2	предупреждать+об+l
zjednat+4	навести+a
vstupovat+do+2	вступать+в+a
stavět+4	строить+n
připravit+na+4	подготовить+к+d
nazývat+4	называть+a
dokazovat+4	доказывать+n
soudit+za+4	судить+за+a
nalézt+na+6	обнаружить+на+l
vytrhnout+3	вырвать+у+g
obchodovat+7	торговать+i
dosahovat+2	доходить+до+g
angažovat+4	вовлечь+в+a
sílit+4	расти+в+a
vézt+v+6	везти+в+l
běhat+3	бегать+к+d
spadnout+o+4	упасть+на+l
pojistit+na+4	застраховать+на+a
doběhnout+7	добежать+с+i
překlenout+4	преодолеть+a
ožívat+v+6	оживать+в+l
napovědět+3	подсказать+d
převést+na+4	перевести+по+d
podržet+4	подержать+g
přiběhnout+na+4	подбежать+ко+d
pojídat+4	поедать+n
napravovat+4	исправлять+a
vystavovat+4	подвергать+g
upřít+4	устремить+на+a
zvýraznit+4	подчеркнуть+a
sedět+za+4	сидеть+во+a
vykládat+3	объяснять+d
vytáhnout+z+2	вынуть+из+g
vylétnout+4	вылететь+из+g
vyloučit+4	исключить+из+g
způsobovat+4	вызывать+n
udělovat+4	давать+a
tvořit+7	составлять+с+i
odcestovat+na+4	уехать+на+a
zamykat+4	запирать+a
obdržet+od+2	получить+от+g
odvrátit+4	отвести+a
vykřikovat+na+4	кричать+на+a
hovořit+proti+3	говорить+в+a
psát+o+4	писать+о+l
sázet+4	ставить+на+a
dovézt+na+4	довезти+до+g
uvalit+4	наложить+a
zabalit+4	завернуть+a
obviňovat+4	обвинять+g
sdílet+4	разделять+n
pohlídat+4	покараулить+a
dát+s+7	поставить+посреди+g
odrážet+4	отражать+a
orientovat+4	ориентировать+a
schovávat+před+7	скрывать+от+g
naříkat+na+4	жаловаться+на+a
přerušovat+v+6	обрывать+на+l
ovlivňovat+4	влиять+на+a
přenechat+3	оставить+d
prožít+4	пережить+a
ztratit+3	растерять+g
přerušit+v+6	прервать+на+l
převést+4	перевести+a
definovat+4	определять+a
nadzvednout+4	приподнять+a
vštěpovat+3	прививать+d
vyvracet+4	выворачивать+a
sejít+na+6	сбиться+с+g
potřásat+7	трясти+i
kazit+4	портить+a
lhát+3	лгать+d
unikat+3	ускользать+от+g
sebrat+3	отнять+у+g
formovat+4	формировать+a
mávat+4	махать+d
přijímat+do+2	принимать+в+a
napravovat+3	исправлять+a
stát+s+7	стать+с+i
prodat+4	продать+a
sloužit+3	служить+d
oplatit+4	отплатить+i
ukazovat+4	показывать+a
pohrdat+7	презирать+g
vidět+4	видеть+a
nařizovat+4	предписывать+g
zažít+4	пережить+a
shledat+4	признать+a
vylézat+z+2	вылезать+из+g
obeznámit+s+7	ознакомить+с+i
postřílet+4	перестрелять+a
umřít+7	умереть+в+l
přistoupit+k+3	подойти+к+d
odkázat+4	завещать+a
očistit+4	почистить+g
zachránit+3	спасти+d
vyjmout+z+2	вынуть+из+g
oživovat+4	оживать+в+l
zaběhnout+4	забежать+к+d
stočit+do+2	свернуть+из+g
namalovat+4	нарисовать+a
znát+z+2	знать+по+l
kázat+4	проповедовать+a
přizpůsobovat+3	приспосабливать+под+a
odvodit+4	вывести+a
přiletět+na+4	прилететь+на+a
zvítězit+o+4	победить+с+i
dělit+7	делить+с+i
měřit+4	замерять+a
zmírňovat+4	смягчать+i
přijíždět+na+4	приезжать+из-за+g
začínat+s+7	начинать+со+g
vyjíždět+na+6	выезжать+от+g
zanechat+po+6	оставить+после+g
vyčleňovat+4	выделять+на+a
pohlcovat+4	поглощать+a
posílit+7	укрепить+с+i
vyvrátit+4	опровергнуть+на+l
mít+7	думать+о+l
domluvit+na+6	договориться+с+i
ležet+s+7	лежать+на+l
přijít+o+4	прийти+на+a
obkličovat+4	окружать+n
ušít+4	сшить+a
dotovat+4	субсидировать+a
natáhnout+4	протянуть+a
náležet+3	принадлежать+к+d
vybrat+za+4	взять+на+a
přiletět+k+3	прилететь+к+d
nastolit+4	установить+a
přednést+4	прочитать+g
zpomalovat+4	замедлять+a
myslit+4	думать+о+l
dovolit+3	позволить+d
mávnout+3	махнуть+в+a
ukrýt+4	спрятать+a
nabírat+4	набирать+a
zvyknout+4	привыкнуть+к+d
zahřívat+7	согревать+в+l
pomoci+3	помочь+d
rozbít+4	разбить+о+a
zvát+4	приглашать+на+a
strhnout+4	сорвать+a
rozdat+v+6	раздать+в+l
hlásat+4	проповедовать+n
přijmout+s+7	принять+с+i
vodit+za+4	водить+за+i
pobírat+4	получать+a
postřehnout+4	заметить+g
pokračovat+s+7	продолжаться+с+i
určit+k+3	предназначить+для+g
záležet+3	заключаться+в+l
potěžkávat+4	взвешивать+в+l
přehlížet+4	игнорировать+a
zaostávat+za+7	отставать+от+g
překvapit+4	удивить+a
upravit+4	поправить+a
spustit+na+4	опустить+на+a
zpozorovat+4	заметить+на+d
přijet+na+4	приехать+к+d
sklonit+4	опустить+a
rozbíjet+4	бить+a
urovnat+4	урегулировать+a
jednat+o+6	говорить+о+l
ladit+4	настраивать+по+d
šokovat+4	шокировать+g
dovádět+3	доводить+до+g
vymést+4	вымести+из+l
dostávat+z+2	получать+из+d
pozvat+k+3	пригласить+к+d
patřit+3	принадлежать+к+d
vyjádřit+4	выразить+a
malovat+4	рисовать+a
vyléčit+4	вылечить+a
oslovit+7	обратиться+к+d
přinášet+3	приносить+d
uvést+do+2	привести+в+a
vyrůstat+o+4	вырастать+из+g
doplnit+4	дополнить+a
zmobilizovat+4	мобилизовать+a
projevovat+4	проявлять+n
šetřit+na+6	экономить+на+n
píchat+4	колоть+a
mobilizovat+4	мобилизовать+n
povolat+k+3	вызвать+к+d
vyhovovat+3	соответствовать+d
hrozit+3	грозить+l
vyrazit+7	вытолкать+в+a
říci+na+4	сказать+в+a
sebrat+z+2	поднять+с+g
přiložit+3	приложить+к+d
zjistit+u+2	выяснить+у+g
uplést+4	заплести+a
transformovat+4	преобразовать+a
inklinovat+k+3	склоняться+к+d
připsat+3	отнести+на+a
vyvíjet+4	разрабатывать+a
pamatovat+na+4	помнить+о+l
sledovat+4	следить+за+i
odstrašovat+4	отпугивать+g
počítat+4	считать+g
ustavit+4	создать+a
lákat+4	привлекать+g
vinit+za+4	винить+кроме+g
sloužit+7	служить+под+i
zasypávat+7	осыпать+i
převýšit+4	превысить+a
vyzbrojit+7	вооружить+i
odemknout+4	открыть+a
odříznout+4	отрезать+a
operovat+7	оперировать+a
ochromit+4	парализовать+n
vtrhnout+k+3	ворваться+к+d
ohlásit+3	объявить+d
vrhnout+4	бросить+a
připočíst+k+3	добавить+к+d
připisovat+k+3	приписывать+к+d
zlikvidovat+4	уничтожить+a
dávat+k+3	ставить+перед+i
upevňovat+4	укреплять+над+i
zatáhnout+4	потянуть+за+a
přidělovat+3	распределять+между+i
souhlasit+s+7	согласиться+с+i
posunout+o+4	передвинуть+на+a
lehnout+7	лечь+с+i
okusit+4	отведать+a
zalévat+7	лить+из-под+g
dopadat+na+4	падать+на+a
uschovat+4	сохранить+a
spotřebovat+4	израсходовать+на+a
zanést+3	отнести+d
napsat+4	написать+a
odstrčit+4	отодвинуть+a
přivítat+7	встретить+в+n
vyzkoušet+3	примерить+к+d
vybudovat+z+2	построить+от+g
napadat+4	нападать+на+a
poznamenat+3	заметить+между+i
umírat+7	умирать+от+g
dělit+o+4	делить+с+i
studovat+4	изучать+a
odložit+3	отложить+благодаря+d
lámat+4	ломать+a
přepravit+4	переправить+из+g
otevírat+4	открывать+a
poskytovat+3	предоставлять+d
užít+2	использовать+для+g
potopit+do+2	погрузить+в+a
znát+4	знать+g
vyslýchat+4	допрашивать+в+l
přidělovat+k+3	распределять+между+i
vysázet+4	посадить+n
vyhrát+na+6	выиграть+у+g
stavět+před+4	ставить+перед+i
delegovat+4	делегировать+a
přeběhnout+4	перебежать+через+a
zahájit+7	вступить+в+a
jezdit+na+4	ездить+на+a
obsadit+4	занять+a
obrátit+na+4	устремить+на+a
přehodnotit+4	переосмыслить+a
slibovat+4	обещать+a
přejmenovat+na+4	переименовать+в+a
ustoupit+z+2	отказаться+от+g
čistit+4	чистить+a
třímat+4	сжимать+a
působit+na+4	действовать+на+a
číst+3	читать+в+l
přesahovat+4	превышать+a
vyplnit+4	выполнить+a
zahnout+v+4	завернуть+за+a
tasit+4	обнажить+a
dělat+na+6	делать+на+l
moci+za+4	мочь+за+a
jezdit+3	ездить+в+l
platit+za+4	платить+за+a
sežrat+2	сожрать+g
usnadňovat+4	облегчать+a
krmit+7	кормить+i
chystat+k+3	готовить+на+a
vysypat+4	ссыпать+на+a
nabrat+4	набрать+a
uhasit+4	потушить+a
zacházet+s+7	обращаться+с+i
pozorovat+7	следить+за+i
zakrýt+před+7	закрыть+от+g
narovnávat+4	разгибать+под+i
skladovat+4	хранить+a
odhadovat+na+4	оценивать+в+l
rozdělit+7	распределить+i
obléknout+4	надеть+a
ušetřit+na+6	сэкономить+на+l
pořizovat+4	покупать+в+a
vévodit+3	возвышаться+над+i
uložit+3	положить+в+l
umýt+4	вымыть+a
držet+s+7	держать+под+a
vyhlásit+4	объявить+a
dostat+7	получить+a
mluvit+4	говорить+о+l
připravovat+na+4	готовить+к+d
sladit+s+7	согласовать+с+i
stavět+proti+3	проводить+в+l
chtít+za+4	хотеть+за+a
sdělit+3	сообщить+об+l
shromáždit+4	собрать+под+i
prosit+o+4	просить+у+g
odnést+3	отнести+d
oslavovat+4	праздновать+a
obohacovat+4	обогащать+a
promluvit+o+6	выступить+насчет+g
uvalovat+4	налагать+a
představovat+4	представлять+a
korigovat+4	корректировать+n
porážet+4	опрокидывать+g
otočit+na+4	повернуть+на+a
napsat+o+6	написать+о+l
pozdravit+s+7	поздороваться+с+i
posílat+na+4	посылать+на+a
počínat+3	начинать+от+g
vyplivnout+4	выплюнуть+на+a
přivážet+7	привозить+из+g
předvádět+4	исполнять+g
koupat+4	купать+a
přivést+4	привести+к+d
stát+za+4	стать+за+a
upozorňovat+4	указывать+на+a
pouštět+4	отпускать+a
vyprovodit+4	проводить+g
sebrat+k+3	подобрать+на+l
vyrazit+na+4	выскочить+на+a
doplňovat+7	дополнять+a
zajít+v+6	зайти+в+l
přesvědčit+4	убедить+g
věřit+4	верить+в+a
jásat+nad+7	ликовать+по+d
vynakládat+4	прилагать+n
zůstávat+na+6	оставаться+на+l
přebírat+2	принимать+на+a
donutit+k+3	принудить+к+d
spočívat+v+6	заключаться+в+l
zkomplikovat+4	усложнить+a
přidržet+4	придержать+a
krájet+4	резать+a
sestoupit+4	спуститься+по+d
obouvat+4	надевать+a
viset+nad+7	висеть+над+i
zdolat+4	преодолеть+n
přemístit+na+4	перевести+на+a
pronášet+4	произносить+g
přemýšlet+o+6	думать+о+l
ukazovat+na+6	указывать+на+a
přetvořit+4	преобразовать+a
vozit+4	возить+в+l
vypadnout+z+2	выпасть+из+g
cpát+4	совать+в+a
pochopit+4	понять+a
zdržovat+4	задерживать+g
porazit+v+6	победить+с+i
proměnit+v+4	превратить+в+a
zápasit+s+7	бороться+с+i
skřípat+7	скрипеть+от+g
donutit+7	принудить+к+d
zdůrazňovat+4	подчеркивать+a
podmínit+7	обусловить+i
bolet+4	болеть+a
přihlásit+4	зарегистрировать+a
usnadňovat+3	облегчать+d
přiblížit+k+3	приблизить+к+d
zdůraznit+4	подчеркнуть+a
mluvit+3	говорить+с+i
zdiskreditovat+4	дискредитировать+a
proměnit+s+7	превратить+в+a
dospívat+2	приходить+к+d
proměňovat+4	превращать+в+a
jednat+na+4	действовать+в+a
zjednodušovat+3	облегчать+для+g
rozříznout+4	разрезать+a
odvézt+7	увезти+в+a
obdržet+4	получить+a
pokřikovat+4	кричать+d
převládat+nad+7	превалировать+над+g
zahrnovat+3	включать+в+a
darovat+3	подарить+d
uvažovat+s+7	думать+меж+i
demolovat+4	разрушать+a
obléci+4	надеть+a
zadržet+4	задержать+a
předpovídat+4	предсказывать+n
přitáhnout+4	притянуть+к+d
připadat+2	приходиться+около+l
zredukovat+4	сократить+a
rozmotat+4	распутать+a
odjíždět+na+4	уезжать+на+a
zapojit+do+2	вовлечь+в+a
získat+4	получить+a
utřít+4	вытереть+a
konzultovat+s+7	согласовывать+с+i
odhlasovat+3	проголосовать+за+n
debatovat+s+7	беседовать+с+i
ohlásit+4	объявить+о+l
žádat+na+6	требовать+от+g
vzít+s+7	взять+с+i
dýchat+7	дышать+i
uvážit+4	рассмотреть+a
předložit+4	предложить+a
položit+3	положить+d
nechávat+na+6	оставлять+на+l
lézt+3	лезть+из+g
vtrhnout+na+4	ворваться+во+a
scházet+7	спускаться+по+d
začínat+4	начинаться+с+g
pověřit+4	поручить+g
odcizit+4	украсть+a
vysvětlit+3	объяснить+d
stanovovat+7	устанавливать+через+a
pokrýt+7	покрыть+i
děkovat+3	благодарить+за+a
zaplatit+4	заплатить+за+a
dirigovat+4	дирижировать+i
vzniknout+z+2	возникнуть+из+g
postupovat+k+3	поступать+в+n
přestupovat+4	переходить+в+a
přitáhnout+na+4	притянуть+к+d
ujet+4	проехать+с+n
šilhat+po+6	коситься+на+a
srovnávat+s+7	сравнивать+с+i
získat+na+4	привлечь+на+a
zastavit+před+7	остановиться+перед+i
přivřít+4	прикрыть+a
odolávat+3	сопротивляться+d
zamítnout+4	отклонить+a
říci+7	сказать+i
fotografovat+4	фотографировать+a
ukončit+4	выйти+из+g
darovat+4	подарить+a
uznávat+4	признавать+g
paralyzovat+4	парализовать+a
měnit+do+2	превращать+в+a
vydržet+4	выдержать+a
dovolit+2	разрешить+для+g
přerůstat+do+2	перерастать+во+a
žádat+o+4	просить+у+g
zůstat+v+6	остаться+в+l
skládat+do+2	складывать+из+g
uplatit+4	подкупить+за+a
dusit+4	подавлять+g
poukázat+na+4	указать+на+a
jíst+7	есть+с+i
schvalovat+4	одобрять+g
projednat+4	обсудить+a
zůstat+při+6	остаться+с+i
utrhnout+4	оторвать+a
natrhnout+4	надорвать+a
přišít+4	пришить+a
klesat+z+2	падать+на+l
absorbovat+4	поглощать+a
zůstat+za+7	остаться+за+i
stahovat+4	стягивать+a
přistupovat+k+3	подходить+к+d
vnucovat+4	навязывать+a
vystupovat+proti+3	выступать+против+g
oklamat+4	обмануть+g
projednávat+4	обсуждать+a
zvát+7	называть+i
vylézt+4	влезть+на+a
hnát+4	мчаться+на+a
kývat+3	кивать+a
schválit+4	одобрить+a
odeslat+4	отправить+a
vystavět+4	выстроить+a
vyslechnout+4	выслушать+a
střílet+4	стрелять+в+a
naříkat+4	жаловаться+на+a
přecházet+od+2	переходить+от+g
přeložit+4	перевести+a
pochovat+4	похоронить+в+l
vzrůst+do+2	увеличиться+на+l
upustit+4	уронить+a
myslet+4	думать+о+l
mlčet+o+6	молчать+об+l
vést+3	вести+к+d
zjednodušit+4	упростить+g
zrazovat+4	предавать+a
bodat+7	тыкать+в+a
dopadnout+4	упасть+на+a
tajit+7	скрывать+g
vyprávět+3	рассказывать+о+l
poskytnout+4	предоставить+a
bušit+3	стучать+у+g
hlásit+4	докладывать+о+i
stvořit+4	сотворить+a
odrazit+4	отбросить+a
nakázat+3	приказать+во+l
ušetřit+2	избавить+от+g
zabít+4	убить+a
vznášet+4	поднимать+a
odvažovat+na+6	взвешивать+на+l
zprostit+2	освободить+от+g
vléci+4	тащить+a
sloužit+4	служить+i
zaručovat+3	гарантировать+d
zaslat+4	отправить+a
určit+pro+4	предназначить+для+g
odvětit+4	ответить+с+i
platit+3	платить+d
vyhodit+4	выбросить+a
rozebrat+na+4	разобрать+на+a
zosobňovat+4	воплощать+в+l
spatřit+v+6	увидеть+в+l
vyrazit+3	отправиться+в+a
uspokojit+4	удовлетворить+a
nastupovat+na+4	вступать+на+a
odebrat+4	отобрать+у+g
rozmíchat+4	размешать+a
porazit+4	победить+a
bývat+7	бывать+перед+i
nalévat+4	разливать+a
klesnout+z+2	упасть+с+l
zasáhnout+4	охватить+a
jít+po+6	идти+по+d
zjistit+o+6	узнать+про+a
nechat+2	оставить+у+g
hrát+za+4	играть+за+a
zanechávat+v+6	оставлять+в+l
minout+4	миновать+a
trvat+na+6	настаивать+на+l
odolat+3	выдержать+a
trpět+3	страдать+от+g
přivézt+7	привезти+в+a
ležet+3	лежать+в+l
prohlašovat+4	объявлять+i
zahrnout+7	засыпать+i
odletět+4	отлететь+в+a
předvádět+3	показывать+d
rodit+4	рожать+в+l
skočit+k+3	сбегать+за+i
vidět+3	видеть+в+l
dosáhnout+2	достичь+g
vážit+4	взвешивать+g
trestat+4	наказывать+за+a
změnit+4	изменить+a
privatizovat+4	приватизировать+a
přicházet+s+7	приходить+в+a
obdivovat+4	восхищаться+i
hnout+pro+4	двинуть+ради+g
srovnat+s+7	сравнить+с+g
podrobit+3	подвергнуть+d
rozeznávat+4	различать+g
vynutit+na+6	добиться+при+l
vyběhnout+s+7	выбежать+в+a
vodit+na+4	водить+в+a
ponořit+4	погрузить+a
vyznamenat+7	наградить+i
zpívat+4	петь+a
obejít+4	обойти+с+i
chytit+4	схватить+a
ujet+7	уехать+i
probíhat+4	осуществляться+l
chodit+s+7	ходить+с+i
obsluhovat+4	обслуживать+g
vymazat+4	стереть+a
spěchat+k+3	спешить+к+d
nabídnout+4	предложить+a
pronikat+4	проникать+в+a
dýchnout+7	дохнуть+на+a
přerůstat+4	перерастать+в+a
běhat+4	бегать+в+l
připojit+k+3	подключить+к+d
rýsovat+4	чертить+g
vyvádět+na+4	выводить+на+a
omluvit+za+4	извинить+за+a
nutit+4	заставлять+g
prohlásit+za+4	заявить+о+l
běhat+na+4	бегать+по+d
plést+s+7	путать+с+i
očekávat+4	ожидать+g
obnovit+4	восстановить+a
naklonit+4	склонить+a
uvažovat+o+6	думать+о+l
zlomit+7	сломить+при+l
jít+za+7	идти+за+i
zazvonit+na+4	позвонить+в+a
omluvit+4	оправдать+n
ustoupit+3	отступить+перед+i
odpovědět+7	ответить+на+a
vyčítat+4	упрекать+за+a
složit+do+2	сочинить+на+a
odečíst+od+2	вычесть+из+g
vyměňovat+4	обменивать+на+a
otáčet+4	поворачивать+a
pálit+po+6	палить+из+l
převzít+3	принять+к+d
dokázat+4	доказать+a
posílit+na+4	усилить+на+l
vyjednávat+4	договариваться+о+l
zastřelit+4	застрелить+со+i
přehodit+4	накинуть+на+a
rozpoutat+4	развязать+a
křičet+4	кричать+на+a
uznat+7	признать+в+l
podstrčit+4	подбросить+a
běžet+k+3	бежать+к+d
cítit+7	чувствовать+i
pomstít+za+4	отомстить+за+a
upozornit+4	указать+a
chtít+od+2	хотеть+от+g
obklopit+7	окружить+i
tahat+4	тянуть+за+a
složit+na+4	сочинить+на+a
kopat+4	рыть+a
živit+4	питать+a
ukázat+7	указать+на+a
odlétat+na+4	улетать+на+a
směnit+za+4	обменять+на+a
vítat+4	приветствовать+g
udělat+3	сделать+со+i
plavat+7	плавать+в+l
příslušet+k+3	принадлежать+к+d
vyslat+4	послать+a
dát+7	вложить+в+a
uctít+4	почтить+a
ukrývat+4	прятать+a
odepřít+4	отказать+в+l
rozšířit+na+4	распространить+на+a
utrpět+4	потерпеть+a
vštípit+3	привить+d
zařvat+na+4	заорать+на+a
utéci+s+7	удрать+с+i
protahovat+7	растягивать+с+i
přeměnit+z+2	превратить+из+g
strašit+7	пугать+i
krýt+7	прикрывать+n
odlétnout+na+4	отлететь+в+a
zalepit+4	заклеить+на+a
ulevit+7	облегчить+путем+g
zastihnout+4	застать+a
upomínat+na+4	напоминать+о+l
operovat+4	оперировать+g
vést+na+4	вести+в+a
doprovodit+4	проводить+g
stoupat+na+4	подниматься+по+d
zajet+4	съездить+на+l
ulehčovat+4	облегчать+n
opravovat+4	поправлять+a
potřít+4	уничтожить+n
odsouvat+4	откладывать+a
hrát+o+4	играть+по+d
vylézt+k+3	взобраться+на+a
umýt+7	смыть+с+g
tlouci+7	стучать+i
ohlásit+7	сообщить+a
demoralizovat+4	деморализовать+n
ratifikovat+4	ратифицировать+a
tlačit+do+2	давить+в+a
odkazovat+na+4	ссылаться+на+a
nařizovat+3	приказывать+d
cvičit+na+6	упражняться+в+n
sestávat+z+2	состоять+из+g
odeslat+3	отправить+для+g
zavřít+před+7	закрыть+перед+i
nahlížet+4	смотреть+на+a
zašívat+4	штопать+a
rozdělit+s+7	разбить+на+a
poradit+3	посоветовать+d
zmírnit+na+4	уменьшить+в+l
vytvořit+z+2	создать+из+g
zvát+na+4	приглашать+на+a
uvádět+na+4	приводить+в+l
stát+z+2	стать+в+l
dorazit+v+6	добраться+до+n
připravit+k+3	подготовить+к+d
přijímat+4	принимать+a
lámat+nad+7	ломать+над+i
podepsat+na+6	подписать+на+l
svrhnout+4	свергнуть+a
objasnit+3	объяснить+d
stěžovat+3	жаловаться+d
houpat+v+6	качаться+в+l
dominovat+3	доминировать+в+l
přidat+3	добавить+d
plout+7	плыть+d
popřát+2	пожелать+g
poukázat+4	указать+на+a
vypravovat+3	рассказывать+d
připevnit+7	прикрепить+к+l
znamenat+7	означать+i
přetvářet+na+4	преобразовывать+в+l
vydat+3	сдать+d
čekat+4	ждать+g
otočit+7	повернуть+a
usmrtit+7	убить+i
tahat+s+7	таскать+за+i
narůst+3	вырасти+у+g
zahrozit+7	погрозить+i
otočit+3	повернуть+к+d
kvést+7	расцветать+под+i
ztělesňovat+4	воплощать+n
stanovovat+4	устанавливать+a
vytesat+4	изваять+a
prominout+4	простить+a
vidět+do+2	видеть+в+l
zamíchat+7	перетасовать+a
přijít+k+3	прийти+в+a
vyměnit+4	заменить+a
navrhovat+na+4	представлять+на+a
získat+3	привлечь+к+l
zakrýt+4	закрыть+a
poslouchat+4	слушать+a
proběhnout+7	пройти+в+l
nalít+2	налить+в+a
navrhovat+3	предлагать+d
vláčet+4	волочить+a
vztahovat+k+3	протягивать+к+d
znít+3	звучать+для+g
přečkat+4	переждать+n
vzpomenout+4	припомнить+a
dodávat+na+4	поставлять+на+n
čerpat+7	черпать+из+g
natahovat+4	натягивать+a
vyhrožovat+7	угрожать+i
pustit+z+2	выпустить+из+g
přicházet+k+3	приходить+к+d
vydržet+bez+2	устоять+без+g
koupit+za+4	купить+за+a
snížit+7	снизить+посредством+g
milovat+4	любить+a
mazat+4	мазать+a
omezit+4	ограничить+a
cenit+4	ценить+n
ovlivňovat+v+6	влиять+на+l
valit+4	катить+перед+i
opisovat+4	описывать+n
chodit+3	ходить+в+a
aplikovat+4	применять+a
pohledět+na+4	поглядеть+на+a
nechat+na+6	оставить+на+l
odtáhnout+4	оттащить+за+a
odvracet+od+2	отвращать+от+g
dohánět+4	догонять+a
odpovídat+na+4	отвечать+на+a
povzbudit+4	поощрить+n
uskutečňovat+4	проводить+при+l
dát+k+3	дать+на+a
považovat+4	считать+i
vyměnit+za+4	заменить+за+a
směňovat+za+4	обменивать+на+a
namířit+7	направить+на+a
přijet+po+6	приехать+на+a
rozdělovat+4	разделять+a
předat+3	передать+d
svázat+7	связать+с+i
propojit+4	соединять+i
zkusit+7	попробовать+i
nahrazovat+7	заменять+n
zodpovídat+za+4	отвечать+за+a
hledět+2	смотреть+на+a
užívat+2	употреблять+g
vsunout+4	сунуть+в+a
odmítat+3	отказывать+в+l
přečíst+o+6	прочитать+в+l
přijmout+na+4	принять+в+a
zachovat+4	сохранить+a
zachytit+4	поймать+a
vyvažovat+4	балансировать+между+i
šlápnout+3	наступить+d
plout+po+6	плавать+в+l
zformovat+4	создать+под+i
zkusit+na+6	попробовать+на+l
povolit+4	разрешить+a
vyprovokovat+4	спровоцировать+a
roztrhat+4	разорвать+на+l
vytvořit+7	создать+с+i
nasazovat+4	надевать+a
odjet+na+6	уехать+с+i
předvést+4	показать+a
diskutovat+s+7	обсуждать+с+i
přidat+v+6	добавить+про+a
sklízet+4	пожинать+a
zabíjet+7	убивать+i
hospodařit+s+7	хозяйничать+с+i
sbalit+do+2	уложить+в+a
běhat+za+7	бегать+к+d
vystřihovat+z+2	вырезать+из+g
mít+2	иметь+g
psát+3	писать+d
zasypat+7	засыпать+i
strhat+4	сорвать+с+g
přispívat+3	способствовать+g
líbat+4	целовать+a
přisuzovat+4	приписывать+n
rozpustit+4	распустить+a
zvýšit+na+4	усилить+на+l
sáhnout+3	прибегнуть+к+d
nabádat+k+3	призывать+к+d
přiřknout+4	присудить+a
hovořit+3	говорить+i
proměnit+4	превратить+в+a
zjistit+4	узнать+a
sbližovat+4	сближать+g
dorazit+na+4	добраться+до+g
skýtat+4	давать+a
uvádět+4	приводить+к+d
rozpouštět+4	распускать+g
odradit+od+2	отбить+у+g
spravovat+4	управлять+i
stoupat+7	подниматься+по+d
docházet+2	происходить+во+l
zapisovat+4	записывать+в+a
dělat+7	делать+с+i
objednat+4	заказать+a
zhotovovat+4	делать+a
aktivovat+4	активизировать+a
klesnout+na+4	опуститься+на+a
instruovat+4	инструктировать+n
seznámit+4	ознакомить+n
řešit+7	решить+g
pohlédnout+na+4	посмотреть+на+a
zastavit+4	остановить+a
objet+4	объехать+a
zvětšovat+4	увеличивать+a
vyjednávat+s+7	договариваться+с+i
drát+4	проволока+a
nahradit+3	заменить+на+a
zemřít+za+4	умереть+через+a
navléknout+3	надеть+на+a
zakoupit+pro+4	купить+для+g
vládnout+3	управлять+i
projektovat+4	проектировать+g
vracet+3	возвращать+d
přesahovat+o+4	превышать+на+l
získat+z+2	получить+у+g
obětovat+4	пожертвовать+i
vynášet+4	выносить+a
odložit+4	отложить+a
dopustit+4	допустить+g
pozvat+na+4	пригласить+на+a
posílat+3	посылать+d
vyzdobit+4	украсить+a
padat+s+7	падать+на+a
přijmout+bez+2	принять+без+g
brojit+proti+3	бороться+с+i
přihodit+3	подкинуть+на+a
znepokojovat+4	беспокоить+a
padnout+na+4	упасть+на+a
povstat+proti+3	восстать+против+g
rozhodnout+proti+3	решить+в+l
špehovat+4	подглядывать+за+i
zklamat+4	подвести+g
chodit+na+4	ходить+на+a
dostávat+7	получать+a
komunikovat+s+7	общаться+с+i
promlouvat+3	выступать+перед+i
zvednout+3	поднять+к+d
přemístit+4	перевести+на+a
patřit+do+2	принадлежать+к+d
stáhnout+z+2	снять+с+g
zachycovat+7	улавливать+в+l
přepadnout+4	напасть+на+a
zdravit+4	здороваться+с+i
sázet+na+4	ставить+на+a
přizvat+k+3	пригласить+к+d
žít+4	жить+в+l
chovat+4	питать+a
zatahovat+4	впутывать+в+a
užívat+k+3	применять+в+l
navodit+4	создать+a
volit+4	избирать+g
představit+v+6	представить+в+l
vyjít+od+2	выйти+от+g
táhnout+za+4	тащить+за+a
zapnout+4	включить+a
zásobit+7	снабдить+i
sestrojit+4	построить+a
zavázat+4	завязать+i
určit+na+4	предназначить+для+g
zranit+4	ранить+a
upustit+od+2	отказаться+от+g
vidět+2	видеть+g
sepsat+4	написать+a
rozvinout+4	развить+a
jet+7	ехать+в+l
rozehrávat+4	разыгрывать+a
